=== CHECKING PEMBELAJARAN MAPEL & AGENDAS ===

ID PM: 87 | Mapel: Matematika (ID:1) | Tingkat: IX (ID:3) | Rombel: Maliki | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 88 | Mapel: Bahasa Indonesia (ID:2) | Tingkat: IX (ID:3) | Rombel: Maliki | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 89 | Mapel: Bahasa Inggris (ID:3) | Tingkat: IX (ID:3) | Rombel: Maliki | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 90 | Mapel: Pendidikan Agama & Budi Pekerti (ID:4) | Tingkat: IX (ID:3) | Rombel: Maliki | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 91 | Mapel: Pendidikan Pancasila (ID:5) | Tingkat: IX (ID:3) | Rombel: Maliki | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 92 | Mapel: Ilmu Pengetahuan Alam (ID:6) | Tingkat: IX (ID:3) | Rombel: Maliki | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 93 | Mapel: Ilmu Pengetahuan Sosial (ID:7) | Tingkat: IX (ID:3) | Rombel: Maliki | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 94 | Mapel: Pendidikan Jasmani, Olahraga dan Kesehatan (ID:8) | Tingkat: IX (ID:3) | Rombel: Maliki | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 95 | Mapel: Informatika (ID:9) | Tingkat: IX (ID:3) | Rombel: Maliki | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 96 | Mapel: Bahasa Sunda (ID:10) | Tingkat: IX (ID:3) | Rombel: Maliki | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 97 | Mapel: Seni Budaya (ID:11) | Tingkat: IX (ID:3) | Rombel: Maliki | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 98 | Mapel: Kepesantrenan 1 (ID:14) | Tingkat: IX (ID:3) | Rombel: Maliki | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 99 | Mapel: Matematika (ID:1) | Tingkat: IX (ID:3) | Rombel: Syafi'i | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 100 | Mapel: Bahasa Indonesia (ID:2) | Tingkat: IX (ID:3) | Rombel: Syafi'i | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 101 | Mapel: Bahasa Inggris (ID:3) | Tingkat: IX (ID:3) | Rombel: Syafi'i | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 102 | Mapel: Pendidikan Agama & Budi Pekerti (ID:4) | Tingkat: IX (ID:3) | Rombel: Syafi'i | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 103 | Mapel: Pendidikan Pancasila (ID:5) | Tingkat: IX (ID:3) | Rombel: Syafi'i | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 104 | Mapel: Ilmu Pengetahuan Alam (ID:6) | Tingkat: IX (ID:3) | Rombel: Syafi'i | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 105 | Mapel: Ilmu Pengetahuan Sosial (ID:7) | Tingkat: IX (ID:3) | Rombel: Syafi'i | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 106 | Mapel: Pendidikan Jasmani, Olahraga dan Kesehatan (ID:8) | Tingkat: IX (ID:3) | Rombel: Syafi'i | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 107 | Mapel: Informatika (ID:9) | Tingkat: IX (ID:3) | Rombel: Syafi'i | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 108 | Mapel: Bahasa Sunda (ID:10) | Tingkat: IX (ID:3) | Rombel: Syafi'i | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 109 | Mapel: Seni Budaya (ID:11) | Tingkat: IX (ID:3) | Rombel: Syafi'i | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 110 | Mapel: Kepesantrenan 1 (ID:14) | Tingkat: IX (ID:3) | Rombel: Syafi'i | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 193 | Mapel: Matematika (ID:1) | Tingkat: VII (ID:1) | Rombel: Al Ghifari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 194 | Mapel: Bahasa Indonesia (ID:2) | Tingkat: VII (ID:1) | Rombel: Al Ghifari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 195 | Mapel: Bahasa Inggris (ID:3) | Tingkat: VII (ID:1) | Rombel: Al Ghifari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 196 | Mapel: Pendidikan Agama & Budi Pekerti (ID:4) | Tingkat: VII (ID:1) | Rombel: Al Ghifari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 197 | Mapel: Pendidikan Pancasila (ID:5) | Tingkat: VII (ID:1) | Rombel: Al Ghifari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 198 | Mapel: Ilmu Pengetahuan Alam (ID:6) | Tingkat: VII (ID:1) | Rombel: Al Ghifari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 199 | Mapel: Ilmu Pengetahuan Sosial (ID:7) | Tingkat: VII (ID:1) | Rombel: Al Ghifari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 200 | Mapel: Pendidikan Jasmani, Olahraga dan Kesehatan (ID:8) | Tingkat: VII (ID:1) | Rombel: Al Ghifari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 201 | Mapel: Informatika (ID:9) | Tingkat: VII (ID:1) | Rombel: Al Ghifari | Sem: Ganjil | TP: 2026/2027 | Judul: Informatika Kelas 7 Semester 1 | Total Agenda: 0
ID PM: 202 | Mapel: Bahasa Sunda (ID:10) | Tingkat: VII (ID:1) | Rombel: Al Ghifari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
